model,variant,batch_size,resolution,params_millions,throughput_imgs_per_s,device,cold_ms,latency_ms_median,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,peak_mem_mb
cnn,baseline,1,256,1.0275,586.585,cuda,968.2603,1.7048,1.7068,0.0093,1.6961,1.7317,106.4868
cnn,baseline,8,256,1.0275,535.207,cuda,24.2927,14.9475,15.0096,0.1011,14.9105,15.1867,887.0252
cnn,baseline,16,256,1.0275,643.891,cuda,35.0857,24.8489,24.8827,0.0733,24.8205,25.0511,1619.4509
cnn,baseline,32,256,1.0275,651.31,cuda,55.8331,49.1318,49.1515,0.0614,49.0928,49.3055,3234.2579
cnn,no_grad,1,256,1.0275,570.778,cuda,4.2251,1.752,1.7529,0.005,1.7476,1.7662,56.1551
cnn,no_grad,8,256,1.0275,535.854,cuda,18.2782,14.9294,14.9319,0.034,14.895,15.0644,409.3942
cnn,no_grad,16,256,1.0275,644.194,cuda,26.927,24.8373,24.8446,0.0288,24.8203,24.9562,814.1445
cnn,no_grad,32,256,1.0275,651.283,cuda,53.0969,49.1338,49.1571,0.0543,49.0983,49.2797,1623.6452
cnn,inference_mode,1,256,1.0275,569.854,cuda,4.4243,1.7548,1.7562,0.0053,1.7487,1.7661,56.1551
cnn,inference_mode,8,256,1.0275,536.106,cuda,15.2458,14.9224,14.9338,0.0336,14.9085,15.0458,409.3942
cnn,inference_mode,16,256,1.0275,644.085,cuda,26.8619,24.8415,24.8625,0.0535,24.8171,25.0059,814.1445
cnn,inference_mode,32,256,1.0275,650.952,cuda,53.1679,49.1588,49.1701,0.0666,49.0794,49.3837,1623.6452
cnn,amp,1,256,1.0275,895.366,cuda,413.8802,1.1169,1.126,0.0198,1.1079,1.171,31.8618
cnn,amp,8,256,1.0275,1134.981,cuda,21.671,7.0486,7.0503,0.0083,7.0385,7.0642,209.8575
cnn,amp,16,256,1.0275,1175.498,cuda,18.2657,13.6113,13.6116,0.0137,13.5908,13.6464,413.2813
cnn,amp,32,256,1.0275,1198.103,cuda,31.5634,26.7089,26.7241,0.0501,26.6885,26.9196,820.1288
cnn,torchscript,1,256,1.0275,605.168,cuda,4.5991,1.6524,1.6522,0.0049,1.6457,1.6669,56.7137
cnn,torchscript,8,256,1.0275,552.145,cuda,14.7891,14.4889,14.5041,0.0471,14.4739,14.6608,410.8703
cnn,torchscript,16,256,1.0275,667.05,cuda,27.0142,23.9862,23.9915,0.035,23.9602,24.1293,815.6206
cnn,torchscript,32,256,1.0275,674.299,cuda,51.3609,47.4567,47.4661,0.0512,47.412,47.6075,1625.1213
