model,variant,batch_size,resolution,params_millions,throughput_imgs_per_s,device,cold_ms,latency_ms_median,latency_ms_mean,latency_ms_std,latency_ms_min,latency_ms_max,peak_mem_mb
resnet18,baseline,1,default,11.6895,387.216,cuda,345.3298,2.5825,2.5605,0.0552,2.4759,2.6773,87.1276
resnet18,baseline,8,default,11.6895,2761.881,cuda,47.3871,2.8966,2.9243,0.0913,2.8855,3.2368,243.5354
resnet18,baseline,16,default,11.6895,3129.271,cuda,30.5435,5.113,5.1251,0.0518,5.0974,5.3451,424.939
resnet18,baseline,32,default,11.6895,3332.628,cuda,28.2533,9.602,9.604,0.0135,9.588,9.6456,781.8486
resnet18,no_grad,1,default,11.6895,479.023,cuda,3.3716,2.0876,2.096,0.0314,2.0556,2.1696,66.154
resnet18,no_grad,8,default,11.6895,2782.011,cuda,3.1542,2.8756,2.8765,0.0044,2.8703,2.8912,111.5781
resnet18,no_grad,16,default,11.6895,3144.319,cuda,5.3102,5.0885,5.0911,0.0094,5.0781,5.1104,169.8724
resnet18,no_grad,32,default,11.6895,3335.936,cuda,9.8881,9.5925,9.5992,0.0358,9.573,9.7419,280.1695
resnet18,inference_mode,1,default,11.6895,492.177,cuda,3.7146,2.0318,2.0388,0.0309,2.0084,2.1205,66.154
resnet18,inference_mode,8,default,11.6895,2780.204,cuda,3.1212,2.8775,2.8781,0.0037,2.8697,2.8849,111.5781
resnet18,inference_mode,16,default,11.6895,3144.981,cuda,5.262,5.0875,5.0873,0.0064,5.0766,5.1023,169.8724
resnet18,inference_mode,32,default,11.6895,3338.818,cuda,9.8706,9.5842,9.5955,0.0358,9.5643,9.7403,280.1695
resnet18,amp,1,default,11.6895,363.497,cuda,197.6788,2.7511,2.7424,0.0601,2.6534,2.8957,84.9603
resnet18,amp,8,default,11.6895,2928.05,cuda,42.6471,2.7322,2.7217,0.0589,2.6199,2.8318,91.1094
resnet18,amp,16,default,11.6895,4545.623,cuda,25.0232,3.5199,3.5327,0.0474,3.5133,3.7353,122.8365
resnet18,amp,32,default,11.6895,5143.567,cuda,27.2216,6.2214,6.2218,0.0074,6.2103,6.2403,192.3702
resnet18,torchscript,1,default,11.6895,969.246,cuda,8.397,1.0317,1.0424,0.0405,0.9999,1.1791,111.8889
resnet18,torchscript,8,default,11.6895,2836.884,cuda,2.9982,2.82,2.826,0.026,2.8075,2.9329,150.9908
resnet18,torchscript,16,default,11.6895,3199.379,cuda,5.1648,5.001,5.0029,0.0121,4.9864,5.0507,201.814
resnet18,torchscript,32,default,11.6895,3368.23,cuda,9.822,9.5005,9.4994,0.0072,9.4876,9.51,301.3632
