epoch,train_l1,val_l1
1,,0.09586787
2,,0.09174907
3,,0.09823865
4,,0.09794790
5,,0.09824812
6,,0.09358174
7,,0.08815074
8,,0.08808309
9,,0.08540106
10,,0.08633173
11,,0.08741790
12,,0.08826423
13,,0.08276188
14,,0.09113073
15,,0.08894789
16,,0.08485472
17,,0.09350610
18,,0.09189248
19,,0.08721220
20,,0.09207273
21,,0.08519572
22,,0.08933061
23,,0.09545541
24,,0.08072484
25,,0.08212870
26,,0.07732069
27,,0.09502095
28,,0.08636177
29,,0.07672715
30,,0.08509660
31,,0.06348968
32,,0.07667309
33,,0.09651154
34,,0.09029949
35,,0.07900095
36,,0.07860202
37,,0.08819348
38,,0.08696502
39,,0.09038961
40,,0.08019024
41,,0.07739842
42,,0.08619416
43,,0.07897216
44,,0.07740539
45,,0.08776718
46,,0.09074426
47,,0.09006733
48,,0.08248836
49,,0.08545190
50,0.06560638,0.06692404
